ts_code,name,year,core_profit,core_profit_margin,core_profit_yoy_growth
600809,山西汾酒,2016,95640.76417399995,21.712119509603546,23.154686291190743
600809,山西汾酒,2017,136736.71204499993,22.647971266717075,42.969071008502
600809,山西汾酒,2018,218844.3473059999,23.326134774911303,60.04798128682399
600809,山西汾酒,2019,293474.23345000006,24.70306579756153,34.10181120175274
600809,山西汾酒,2020,427710.11540499993,30.572986540304854,45.74026154765304
600809,山西汾酒,2021,691379.7381659998,34.61920854595734,61.64680545638495
600809,山西汾酒,2022,1051315.8374720002,40.10534155078013,52.0605507272734
600809,山西汾酒,2023,1371302.1243960003,42.949178702786654,30.436741797159733
600809,山西汾酒,2024,1619668.2375009998,44.97705098050832,18.111698996630242
603369,今世缘,2011,70641.22818199996,31.503383341084717,
603369,今世缘,2012,90651.45367,34.949865835281756,28.326553771751705
603369,今世缘,2013,90837.74721,36.11233376496132,0.20550530020432461
603369,今世缘,2014,84812.78434,35.34252130092699,-6.632664344
603369,今世缘,2015,83407.13958999999,34.395841330754784,-1.657350081
603369,今世缘,2016,92513.37719799997,36.21757449116807,10.917815492490256
603369,今世缘,2017,109856.19137200003,37.2115092998613,18.74627724040646
603369,今世缘,2018,135695.60306300002,36.320744528705156,23.521124634206
603369,今世缘,2019,163933.04366100003,33.66271057572297,20.809399833604118
603369,今世缘,2020,164315.43429200002,32.096849143574175,0.23326025214948282
603369,今世缘,2021,248335.72699199992,38.76911030362456,51.13353657982608
603369,今世缘,2022,311117.0105,39.458695442508116,25.280810083368543
603369,今世缘,2023,402859.53965299996,39.895045444326236,29.48811092102282
603369,今世缘,2024,442303.6762839999,38.31330203318825,9.791039493560175
603589,口子窖,2011,53185.21327899998,25.41802730883228,
603589,口子窖,2012,61745.05179699999,24.63350969582892,16.09439539726323
603589,口子窖,2013,56637.171740999984,23.14412406075182,-8.272533438
603589,口子窖,2014,57016.57439199997,25.24472671623573,0.6698827630994422
603589,口子窖,2015,83763.28379999996,32.41597490391231,46.91041103962366
603589,口子窖,2016,103982.77422000002,36.74071015809049,24.138846404682216
603589,口子窖,2017,151426.92482200003,42.032127401148415,45.6269328818067
603589,口子窖,2018,198722.2973,46.55046669996496,31.23313278572813
603589,口子窖,2019,218566.8384,46.781424364063476,9.986066645327316
603589,口子窖,2020,161885.54348600007,40.358941755768555,-25.9331632
603589,口子窖,2021,204423.31904000003,40.652146970910096,26.276451027066948
603589,口子窖,2022,207498.78741500006,40.407911797752305,1.5044606405193133
603589,口子窖,2023,232470.20728199996,38.99260616923888,12.034489539958985
603589,口子窖,2024,222035.60141799995,36.915457703809956,-4.488577692
